text,label
protokol,at
dasturchi,at
proksi,at
os,at
online,at
operatsion tizim,at
operatsion,at
ona plata,at
motherboard,at
desktop,at
netbook,at
notebook,at
iphone,at
lg,at
samsung,at
smartphone,at
power point,at
multimedia,at
chip,at
hardware,at
hosting,at
switch,at
hub,at
case,at
rom,at
ram,at
cpu,at
core,at
protsessor,at
base,at
firebird,at
access,at
oracle,at
sqllite,at
sql,at
mysql,at
lokal,at
monitor,at
videokarta,at
sichqoncha,at
adobe,at
3dmax,at
montaj,at
elektron doska,at
proektor,at
robot,at
printer,at
fleshka,at
usb,at
router,at
wi-fi,at
medjurney,at
opengpt,at
chatgpt,at
sun'iy intellekt,at
sun'iy intelekt,at
sun'iy,at
kompyuter,at
instagram,at
whatsapp,at
telegram,at
facebook,at
messenger,at
ijtimoiy tarmoq,at
mac,at
ios,at
windows,at
klaviatura,at
kesh,at
proxy,at
web,at
provayder,at
autentifikatsiya,at
identifikatsiya,at
explorer,at
tcp,at
sayt,at
ip,at
internet,at
kibernetika,at
www,at
javascript,at
java,at
drayver,at
domen,at
dvd,at
hdd,at
disk,at
diskovod,at
xotira,at
dasturlash tili,at
python,at
paskal,at
bug,at
browser,at
php,at
shareware,at
delphi,at
excel,at
acpi,at
basic,at
application,at
mpeg,at
word,at
microsoft,at
office,at
dasturlash,at
dastur,at
grafika,at
global,at
html,at
htm,at
tag,at
fayl,at
giperhavola,at
gipermedia,at
format,at
gipermatn,at
virtual,at
virus,at
vinchestcr,at
vizual,at
videoo'yin,at
konferensiya,at
video,at
server,at
veb-sahifa,at
veb-sayt,at
veb,at
brouzer,at
brouser,at
bmuzer,at
sahifa,at
dial-up,at
dial-vp,at
dma,at
driver,at
interface,at
interfeys,at
modem,at
elektron,at
baza,at
apparat,at
kommunikatsiya,at
aloqa,at
tarmoq,at
zip,at
qurilma,at
analog,at
animatsiya,at
algolitm,at
kilobayt,at
bayt,at
bit,at
texnologiya,at
axborot,at
algoritm,at
tizim,at
assembler,at
arpanet,at
software,at
alibaba,at
android,at
qiyom,diniy
sajda,diniy
ruku,diniy
ka'ba,diniy
kahf,diniy
kafforat,diniy
kafan,diniy
kalima,diniy
kavsar,diniy
kaafirun,diniy
josiya,diniy
masjid,diniy
jome',diniy
jome,diniy
joynamoz,diniy
jin,diniy
jahannam,diniy
jasad,diniy
janoza,diniy
jannat,diniy
jabroil,diniy
isha'yo,diniy
ixlos,diniy
iftor,diniy
is'hoq,diniy
diniy,diniy
din,diniy
islom,diniy
imom,diniy
iqomat,diniy
iyso,diniy
iymon,diniy
iyd,diniy
qurbon,diniy
shayton,diniy
hujurot,diniy
hud,diniy
hijriy,diniy
hijrat,diniy
hijr,diniy
haqqo,diniy
hayit,diniy
umra,diniy
haj,diniy
hadis,diniy
hadid,diniy
savob,diniy
gunoh,diniy
fussilat,diniy
furqon,diniy
fotir,diniy
sadaqa,diniy
fitr,diniy
fil surasi,diniy
fath,diniy
fatvo,diniy
farz,diniy
falaq,diniy
fajr,diniy
ehtilom,diniy
ehson,diniy
buruj,diniy
bomdod,diniy
banda,diniy
badal,diniy
baqara,diniy
bay'at,diniy
baytulloh,diniy
ramazon,diniy
ro'za,diniy
namoz,diniy
asr,diniy
arafot,diniy
arafa,diniy
ansor,diniy
anbiyo,diniy
amri ma'ruf,diniy
amin,diniy
alhamdulillah,diniy
allohu akbar,diniy
alloh,diniy
alaq,diniy
alayhissalom,diniy
aqiyda,diniy
aqaba,diniy
ayyub,diniy
aimma,diniy
azroil,diniy
azob,diniy
homiy,iqtisodiyot
yalpi milliy mahsulot,iqtisodiyot
yarmarka,iqtisodiyot
emissiya,iqtisodiyot
embargo,iqtisodiyot
elektron pul,iqtisodiyot
eksport,iqtisodiyot
chek,iqtisodiyot
chakana baho,iqtisodiyot
xususiylashtirish,iqtisodiyot
xolding,iqtisodiyot
fond,iqtisodiyot
fermer,iqtisodiyot
ustama,iqtisodiyot
ulgurji,iqtisodiyot
tender,iqtisodiyot
taklif,iqtisodiyot
talab,iqtisodiyot
tadbirkorlik,iqtisodiyot
tadbirkor,iqtisodiyot
stagnasiya,iqtisodiyot
supermarket,iqtisodiyot
sponsor,iqtisodiyot
saldo,iqtisodiyot
raqobat,iqtisodiyot
passiv,iqtisodiyot
monopoliya,iqtisodiyot
menejer,iqtisodiyot
menejment,iqtisodiyot
markaziy bank,iqtisodiyot
marketing,iqtisodiyot
makler,iqtisodiyot
makroiqtisodiyot,iqtisodiyot
limit,iqtisodiyot
lizing,iqtisodiyot
krizis,iqtisodiyot
kompanion,iqtisodiyot
kliring,iqtisodiyot
kvota,iqtisodiyot
kartel,iqtisodiyot
kamomad,iqtisodiyot
kalkulyasiya,iqtisodiyot
ishsizlik,iqtisodiyot
ish haqi,iqtisodiyot
xarajat,iqtisodiyot
ishlab chiqarish,iqtisodiyot
iste'mol,iqtisodiyot
islohot,iqtisodiyot
inqiroz,iqtisodiyot
inflyasiya,iqtisodiyot
inkasso,iqtisodiyot
inkassator,iqtisodiyot
inkassasiya,iqtisodiyot
integrasiya,iqtisodiyot
investor,iqtisodiyot
dotasiya,iqtisodiyot
dealer,iqtisodiyot
diler,iqtisodiyot
dividend,iqtisodiyot
deflyasiya,iqtisodiyot
defisit,iqtisodiyot
depozit,iqtisodiyot
demping,iqtisodiyot
deklarasiya,iqtisodiyot
demonopolizasiya,iqtisodiyot
debitor,iqtisodiyot
buyurtma,iqtisodiyot
byudjet,iqtisodiyot
bozor iqtisodiyoti,iqtisodiyot
biznes reja,iqtisodiyot
bankomat,iqtisodiyot
kafil,iqtisodiyot
balans,iqtisodiyot
auditor,iqtisodiyot
audit,iqtisodiyot
mulk,iqtisodiyot
ijara,iqtisodiyot
arenda,iqtisodiyot
amortizasiya,iqtisodiyot
antimonopol,iqtisodiyot
agrofirma,iqtisodiyot
agrobiznes,iqtisodiyot
aksiya,iqtisodiyot
aksionerlik,iqtisodiyot
aksiz,iqtisodiyot
kassa,iqtisodiyot
akkreditiv,iqtisodiyot
hisob-kitob,iqtisodiyot
bunak,iqtisodiyot
avtarkiya,iqtisodiyot
avans,iqtisodiyot
daromad,iqtisodiyot
firma,iqtisodiyot
sotib olish,iqtisodiyot
sotish,iqtisodiyot
shartnoma,iqtisodiyot
sug'urta,iqtisodiyot
reklama,iqtisodiyot
polis,iqtisodiyot
patent,iqtisodiyot
lisenziya,iqtisodiyot
garov,iqtisodiyot
ko'chmas mulk,iqtisodiyot
ipoteka,iqtisodiyot
moddiy,iqtisodiyot
foyda,iqtisodiyot
investisiya,iqtisodiyot
zayom,iqtisodiyot
kapital,iqtisodiyot
import,iqtisodiyot
veksel,iqtisodiyot
kumush,iqtisodiyot
oltin,iqtisodiyot
broker,iqtisodiyot
qimmatbaho qog'oz,iqtisodiyot
qimmatbaho,iqtisodiyot
mol-mulk,iqtisodiyot
tovar,iqtisodiyot
boj,iqtisodiyot
bojxona,iqtisodiyot
soliq,iqtisodiyot
hisob,iqtisodiyot
ayirboshlash,iqtisodiyot
korchalon,iqtisodiyot
birja,iqtisodiyot
biznesmen,iqtisodiyot
boylik,iqtisodiyot
biznes,iqtisodiyot
valyuta,iqtisodiyot
to'lov,iqtisodiyot
korxona,iqtisodiyot
bank,iqtisodiyot
mahsulot,iqtisodiyot
savdo,iqtisodiyot
kimoshdi,iqtisodiyot
xaridor,iqtisodiyot
narx,iqtisodiyot
mablag,iqtisodiyot
pul,iqtisodiyot
foiz,iqtisodiyot
qarz,iqtisodiyot
moliya,iqtisodiyot
kredit,iqtisodiyot
iqtisod,iqtisodiyot
auksion,iqtisodiyot
iqtisodiy,iqtisodiyot
bog',qishxoj
dala,qishxoj
kungaboqar,qishxoj
pista,qishxoj
bodom,qishxoj
yong'oq,qishxoj
intensiv,qishxoj
kivi,qishxoj
mandarin,qishxoj
apelsin,qishxoj
banan,qishxoj
limon,qishxoj
tut,qishxoj
nok,qishxoj
qulubnay,qishxoj
shaftoli,qishxoj
olma,qishxoj
baqlajon,qishxoj
pomidor,qishxoj
bodring,qishxoj
bodiring,qishxoj
bulg'or qalampiri,qishxoj
sabzi,qishxoj
gulkaram,qishxoj
karam,qishxoj
qalampir,qishxoj
qovoq,qishxoj
tarvuz,qishxoj
qovun,qishxoj
uzum,qishxoj
meva,qishxoj
bogʻdorchilik,qishxoj
bog'dorchilik,qishxoj
dukkakli,qishxoj
arpa,qishxoj
sholi,qishxoj
bug'doy,qishxoj
don,qishxoj
gʻoʻza,qishxoj
g'o'za,qishxoj
makkajoʻxori,qishxoj
makkajo'xori,qishxoj
oziq-ovqat,qishxoj
yem,qishxoj
xashak,qishxoj
hayvon,qishxoj
teri,qishxoj
go‘sht mahsulotlari,qishxoj
go'sht mahsulotlari,qishxoj
tovushqon,qishxoj
quyon,qishxoj
kultivatsiya,qishxoj
piyoz,qishxoj
urug‘,qishxoj
urug',qishxoj
kartoshka,qishxoj
mikrokorxona,qishxoj
sut,qishxoj
golshteyn,qishxoj
fermer,qishxoj
sabzavot,qishxoj
poliz,qishxoj
echki,qishxoj
qo'y,qishxoj
qoramol,qishxoj
mol,qishxoj
chorvachilik,qishxoj
makaron,qishxoj
qandolat,qishxoj
ziravor,qishxoj
mexanizatsiya,qishxoj
qishloq xo‘jaligi,qishxoj
qishloq xo'jaligi,qishxoj
tuproq,qishxoj
traktor,qishxoj
agrar,qishxoj
dehqon xo‘jalik,qishxoj
dehqon xo'jalik,qishxoj
oyna,qurilish
bino,qurilish
uy,qurilish
arava,qurilish
payvandlash,qurilish
elektrond,qurilish
dyubel,qurilish
karbid,qurilish
sintefon,qurilish
eleron,qurilish
knauf,qurilish
steklovata,qurilish
reka,qurilish
bo'yoq,qurilish
samorez,qurilish
sim,qurilish
shpatlyovka,qurilish
masterok,qurilish
kovsh,qurilish
bolg'a,qurilish
tesha,qurilish
mix,qurilish
akfa,qurilish
eshik,qurilish
deraza,qurilish
kran,qurilish
pol,qurilish
patalok,qurilish
ustun,qurilish
plita,qurilish
devor,qurilish
poydevor,qurilish
fundament,qurilish
shifer,qurilish
shlakablok,qurilish
albaster,qurilish
gips,qurilish
dsp,qurilish
dvp,qurilish
gipsokardon,qurilish
po'lat,qurilish
almatura,qurilish
tuproq,qurilish
g'isht,qurilish
qum,qurilish
tosh,qurilish
quvur,qurilish
yog'och,qurilish
sement,qurilish
beton,qurilish
murabbiy,sport
trenajer,sport
niqob,sport
shlem,sport
hakam,sport
tablo,sport
finish,sport
"stadion
tribuna",sport
stadion tribuna,sport
ring,sport
toʻsiqlar,sport
to'siqlar,sport
qayiq,sport
konki,sport
langarchoʻp,sport
langarcho'p,sport
yadro,sport
boskrn,sport
lappak,sport
nayza,sport
qilich,sport
rapira,sport
chavgon,sport
toʻp,sport
to'p,sport
sakrash,sport
yengil atletika,sport
xokkey,sport
voleybol,sport
velosiped sporti,sport
ko‘pkari,sport
ko'pkari,sport
uloq,sport
taekvondo,sport
txekvondo,sport
triatlon,sport
chang‘i sporti,sport
chang'i sporti,sport
tennis,sport
suvga sakrash,sport
suzish,sport
suv polosi,sport
raketka,sport
pingpong,sport
ping-pong,sport
stol tennisi,sport
akrobatika,sport
shaxmat,sport
shashka,sport
sambo,sport
regbi,sport
radiosport,sport
qilichbozlik,sport
jang san’ati,sport
jang san'ati,sport
ot sporti,sport
og'ir atletika,sport
mototsikl sporti,sport
mini-futbol,sport
karate,sport
kamondan otish,sport
gandbol,sport
futbol,sport
fristayl,sport
figurali uchish,sport
jiu-jitsu,sport
dzyudo,sport
velopoyga,sport
yugurish,sport
duatlon,sport
boks,sport
gantel tosh,sport
shtanga,sport
bodibilding,sport
bobsley,sport
chang‘i,sport
chang'i,sport
biatlon,sport
baydarka,sport
zal,sport
savatli,sport
basketbol,sport
volan,sport
badminton,sport
arg‘amchi,sport
arg'amchi,sport
halqa,sport
koptok,sport
tasma,sport
poyga,sport
badiiy gimnastika,sport
aykido,sport
alpinizm,sport
eshkak eshish,sport
sport,sport
football,sport
kurash,sport
ta'lim,ta'lim
amaliy mashg'ulot,ta'lim
amaliyot,ta'lim
tahlil,ta'lim
dars,ta'lim
mavzu,ta'lim
bilim,ta'lim
talaba,ta'lim
o'quvchi,ta'lim
ta'limda,ta'lim
o'rganish,ta'lim
ta'lim kampusi,ta'lim
kasbiy bilim,ta'lim
umumta’lim,ta'lim
umumta'lim,ta'lim
amaliy ko‘nikmalar,ta'lim
amaliy ko'nikmalar,ta'lim
tarbiya,ta'lim
davlat ta’lim standartlari,ta'lim
davlat ta'lim standartlari,ta'lim
nodavlat ta’lim tashkiloti,ta'lim
nodavlat ta'lim tashkiloti,ta'lim
kasbiy tayyorgarlik,ta'lim
mutaxassislik,ta'lim
ko‘nikmalar,ta'lim
ko'nikmalar,ta'lim
mahorat,ta'lim
qobiliyat,ta'lim
bilim,ta'lim
malaka,ta'lim
kasbiy,ta'lim
ilmiy,ta'lim
ta’lim oluvchilarning,ta'lim
ta'lim oluvchilarning,ta'lim
ta'limning,ta'lim
ta’lim talablari,ta'lim
ta'lim talablari,ta'lim
ta’lim muassasasi,ta'lim
ta'lim muassasasi,ta'lim
bitiruvchilariga,ta'lim
o‘quv,ta'lim
o'quv,ta'lim
davlat ta’lim standartlari,ta'lim
davlat ta'lim standartlari,ta'lim
ta’lim tashkilotlari,ta'lim
ta'lim tashkilotlari,ta'lim
muassasalari,ta'lim
davlat akkreditatsiyasi,ta'lim
hirrurg,tibbiyot
poloklinika,tibbiyot
oiv,tibbiyot
miningit,tibbiyot
vabo,tibbiyot
rak,tibbiyot
sil,tibbiyot
diareya,tibbiyot
qandli diabet,tibbiyot
alsgeymer,tibbiyot
ishemik,tibbiyot
nerv tizimi,tibbiyot
narkoz,tibbiyot
o'lim,tibbiyot
stomatologiya,tibbiyot
doktor,tibbiyot
shifokor,tibbiyot
hamshira,tibbiyot
stomotalogiya,tibbiyot
shpirits,tibbiyot
jarrohlik,tibbiyot
kasalxona,tibbiyot
yara,tibbiyot
jarohat,tibbiyot
homila,tibbiyot
qon,tibbiyot
o‘simta,tibbiyot
o'simta,tibbiyot
shol,tibbiyot
shok,tibbiyot
chipqon,tibbiyot
tulg‘oq,tibbiyot
tulg'oq,tibbiyot
tuxumdon,tibbiyot
tutqanoq,tibbiyot
tumov,tibbiyot
toksemiya,tibbiyot
toksikoz,tibbiyot
termometr,tibbiyot
suspenziya,tibbiyot
stress,tibbiyot
tanosil,tibbiyot
stetoskop,tibbiyot
spazm,tibbiyot
sanitariya,tibbiyot
prostata,tibbiyot
refleks,tibbiyot
peritonit,tibbiyot
parhez,tibbiyot
paralich,tibbiyot
puls,tibbiyot
spid,tibbiyot
oits,tibbiyot
oshqozon osti bezi,tibbiyot
oqsil,tibbiyot
nerv,tibbiyot
organizmlar,tibbiyot
mongoloidizm,tibbiyot
ninalog‘ich,tibbiyot
ninalog'ich,tibbiyot
mikroblar,tibbiyot
limfa tugunlari,tibbiyot
kraxmal,tibbiyot
lyambliya,tibbiyot
kon’yuktiva,tibbiyot
kon'yuktiva,tibbiyot
kontratseptiv,tibbiyot
kompress,tibbiyot
katarakta,tibbiyot
koma,tibbiyot
kateter,tibbiyot
klizma,tibbiyot
kariyes,tibbiyot
kamqonlik,tibbiyot
ichburug‘,tibbiyot
ichburug',tibbiyot
yo’ldosh,tibbiyot
yo'ldosh,tibbiyot
isitma,tibbiyot
infeksiya,tibbiyot
irsiy,tibbiyot
insulin,tibbiyot
insult,tibbiyot
invaginatsiya,tibbiyot
immunizatsiya,tibbiyot
ich qotishi,tibbiyot
illatlar,tibbiyot
ich ketar,tibbiyot
zardob,tibbiyot
gips,tibbiyot
glyukoza,tibbiyot
gigiyena,tibbiyot
dizenteriya,tibbiyot
dieta,tibbiyot
gemorroy,tibbiyot
dermatit,tibbiyot
gormon,tibbiyot
gripp,tibbiyot
vitamin,tibbiyot
grija,tibbiyot
buyrak toshi,tibbiyot
vena,tibbiyot
bo’qoq,tibbiyot
bo'qoq,tibbiyot
bronxlar,tibbiyot
balg‘am,tibbiyot
balg'am,tibbiyot
arteriya,tibbiyot
bavosil,tibbiyot
antitoksin,tibbiyot
aerozol,tibbiyot
antiseptik,tibbiyot
amputatsiya,tibbiyot
abssess,tibbiyot
alkogolizm,tibbiyot
allergiya,tibbiyot
antibiotik,tibbiyot
defibrilyator,tibbiyot
magnitli rezonans tomografiyasi,tibbiyot
mri,tibbiyot
röntgen,tibbiyot
radiologik uskuna,tibbiyot
ultrasonografiya,tibbiyot
uzi,tibbiyot
endoskop,tibbiyot
tromb,tibbiyot
fibrinolitik,tibbiyot
anesteziya,tibbiyot
fibrillyatsiya,tibbiyot
elektrokardiogramm,tibbiyot
ekg,tibbiyot
holter,tibbiyot
qon bosimi,tibbiyot
holter monitori,tibbiyot
bakteriya,tibbiyot
karantin,tibbiyot
epidemiya,tibbiyot
epidemiologiya,tibbiyot
rentgen,tibbiyot
tomografiya,tibbiyot
magnitli resonans,tibbiyot
radiologiya,tibbiyot
kasal,tibbiyot
salomatlik,tibbiyot
reabilitatsiya,tibbiyot
terapiya,tibbiyot
operatsiya,tibbiyot
shifoxona,tibbiyot
klinik,tibbiyot
immunitet,tibbiyot
immun,tibbiyot
kasallik,tibbiyot
mikroorganizm,tibbiyot
virus,tibbiyot
tibbiyot,tibbiyot
chrysler,transport
opel,transport
skoda,transport
peugeot,transport
reanult,transport
fiat,transport
subaru,transport
dodge,transport
nissan,transport
mitsubishi,transport
mazda,transport
land rover,transport
jaguar,transport
isuzu,transport
infiniti,transport
general motors,transport
jeep,transport
audi,transport
acura,transport
honda,transport
dizel,transport
benzin,transport
elektromobil,transport
tesla,transport
kia,transport
tank,transport
yuk mashina,transport
mator,transport
lexus,transport
volvo,transport
hyundai,transport
toyota,transport
lada,transport
daewoo,transport
g'ildirak,transport
bekat,transport
metro,transport
avto salon,transport
avto,transport
avtosalon,transport
rul,transport
kuzov,transport
orlando,transport
captiva,transport
lasetti,transport
nexia,transport
porsche,transport
bmw,transport
mercedes,transport
ford,transport
ferrari,transport
chevrolet,transport
ehtiyot qismlar,transport
yoqilg'i,transport
raketa,transport
temir yo'l,transport
port,transport
vokzal,transport
taksi,transport
taxi,transport
radionavigatsiya,transport
ot kuchi,transport
yahta,transport
yaxta,transport
dvigatel,transport
elektroxod,transport
teploxod,transport
paroxod,transport
flot,transport
yengil avtomobil,transport
avtobus,transport
airoport,transport
avtovokzal,transport
zaz,transport
kraz,transport
laz,transport
paz,transport
uaz,transport
jiguli,transport
kamaz,transport
volga,transport
gaz,transport
moskvich,transport
zil,transport
samolyot,transport
vertaliyot,transport
aviatsiya,transport
havo transporti,transport
qayiq,transport
kema,transport
suv transporti,transport
avtomobil,transport
poyezd,transport
yer usti transporti,transport
yoʻlovchi,transport
yo'lovchi,transport
transport,transport
parvoz,turizm
bilet,turizm
muzey,turizm
xotira maydoni,turizm
sayohat agentligi,turizm
yodgorliklar,turizm
mehmonxona,turizm
dam olish zona,turizm
git,turizm
xarita,turizm
turistik,turizm
ekskursiya,turizm
turist,turizm
sanatoriya,turizm
dam olish maskanlari,turizm
ichki turizm,turizm
tashrif,turizm
ziyorat,turizm
